source_file,message_timestep,speaker,target_agent,request_action,request_object,request_location,request_text,matched_total_action_agent,matched_total_action_index,matched_action,matched_action_timestep,validator_errors_between,tgco_label,evidence_source,run_id,order,order_level,p0_model,p1_model,p0_agent_type,p1_agent_type,team_model_pair,team_agent_type_pair,speaker_role,target_role,speaker_model,target_model,speaker_agent_type,target_agent_type,speaker_comm_tokens,target_comm_tokens,episode_total_comm_tokens
src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,0,0,1,pickup,potato_slices,ingredient_dispenser,"Hi! Let's start making baked potato slices. Can you please pick up a potato from the ingredient dispenser? After that, you'll need to cut it into slices on your chopping board since I don't have access to cutting equipment.",,,,,0,Ineffective,total_action_list,409e5604e4887791,baked_potato_slices,level_2,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,claude-sonnet-4-20250514__claude-sonnet-4-20250514,a-tom__a-tom,P0,P1,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,16301,1983,18284
src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,1,0,1,pickup,potato,pot,"I'll handle the oven baking once you cut the potato. After you pick up the potato and cut it into slices, please place the slices on the counter so I can put them in the oven to bake.",,,,,0,Ineffective,total_action_list,409e5604e4887791,baked_potato_slices,level_2,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,claude-sonnet-4-20250514__claude-sonnet-4-20250514,a-tom__a-tom,P0,P1,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,16301,1983,18284
src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,1,0,1,place_obj_on_counter,potato,counter,"I'll handle the oven baking once you cut the potato. After you pick up the potato and cut it into slices, please place the slices on the counter so I can put them in the oven to bake.",,,,,0,Ineffective,total_action_list,409e5604e4887791,baked_potato_slices,level_2,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,claude-sonnet-4-20250514__claude-sonnet-4-20250514,a-tom__a-tom,P0,P1,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,16301,1983,18284
src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,2,0,1,pickup,potato,pot,"I'll handle the oven for baking. After you get the potato, please cut it into slices on your chopping board, then place the sliced potato on the counter so I can pick it up and put it in the oven.",,,,,0,Ineffective,total_action_list,409e5604e4887791,baked_potato_slices,level_2,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,claude-sonnet-4-20250514__claude-sonnet-4-20250514,a-tom__a-tom,P0,P1,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,16301,1983,18284
src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,2,0,1,place_obj_on_counter,potato,counter,"I'll handle the oven for baking. After you get the potato, please cut it into slices on your chopping board, then place the sliced potato on the counter so I can pick it up and put it in the oven.",,,,,0,Ineffective,total_action_list,409e5604e4887791,baked_potato_slices,level_2,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,claude-sonnet-4-20250514__claude-sonnet-4-20250514,a-tom__a-tom,P0,P1,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,16301,1983,18284
src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,2,0,1,put_obj_in_utensil,potato,oven,"I'll handle the oven for baking. After you get the potato, please cut it into slices on your chopping board, then place the sliced potato on the counter so I can pick it up and put it in the oven.",,,,,0,Ineffective,total_action_list,409e5604e4887791,baked_potato_slices,level_2,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,claude-sonnet-4-20250514__claude-sonnet-4-20250514,a-tom__a-tom,P0,P1,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,16301,1983,18284
src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,3,0,1,place_obj_on_counter,potato,counter,"Please cut the potato you're holding into slices using the chopping board, then place the sliced potatoes on the counter so I can put them in the oven.",,,,,0,Ineffective,total_action_list,409e5604e4887791,baked_potato_slices,level_2,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,claude-sonnet-4-20250514__claude-sonnet-4-20250514,a-tom__a-tom,P0,P1,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,16301,1983,18284
src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,4,0,1,put_obj_in_utensil,potato,chopping_board,Please put the potato on the chopping board and cut it into slices. I'll prepare to receive the slices for baking.,1,1,put_obj_in_utensil(chopping_board0),7,0,Effective,total_action_list,409e5604e4887791,baked_potato_slices,level_2,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,claude-sonnet-4-20250514__claude-sonnet-4-20250514,a-tom__a-tom,P0,P1,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,16301,1983,18284
src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,5,0,1,place_obj_on_counter,potato,counter,"Perfect! I see you're about to cut the potato. After you finish cutting it into slices, please place the sliced potato on the counter so I can pick it up and put it in the oven for baking.",,,,,0,Ineffective,total_action_list,409e5604e4887791,baked_potato_slices,level_2,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,claude-sonnet-4-20250514__claude-sonnet-4-20250514,a-tom__a-tom,P0,P1,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,16301,1983,18284
src/data/a-tom_claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_10-19-10_baked_potato_slices.json,5,0,1,put_obj_in_utensil,potato,oven,"Perfect! I see you're about to cut the potato. After you finish cutting it into slices, please place the sliced potato on the counter so I can pick it up and put it in the oven for baking.",,,,,0,Ineffective,total_action_list,409e5604e4887791,baked_potato_slices,level_2,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,claude-sonnet-4-20250514__claude-sonnet-4-20250514,a-tom__a-tom,P0,P1,claude-sonnet-4-20250514,claude-sonnet-4-20250514,a-tom,a-tom,16301,1983,18284
